,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
353108,BRONX,DANGEROUS DRUGS,40.850286,-73.901507,10457,MISDEMEANOR,2022-09-01
353111,BROOKLYN,GRAND LARCENY,40.687581,-73.908714,11207,FELONY,2022-09-01
353113,QUEENS,ASSAULT 3 & RELATED OFFENSES,40.693532,-73.755549,11412,MISDEMEANOR,2022-09-01
353115,BROOKLYN,BURGLARY,40.651141,-73.895037,11236,FELONY,2022-09-02
353117,QUEENS,PETIT LARCENY,40.732041,-73.733617,11427,MISDEMEANOR,2022-09-01
353118,BROOKLYN,PETIT LARCENY,40.691005,-73.983456,11201,MISDEMEANOR,2022-09-02
353127,BROOKLYN,BURGLARY,40.645578,-74.018653,11220,FELONY,2022-09-02
353132,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,40.661478,-73.95217,11225,MISDEMEANOR,2022-09-03
353135,MANHATTAN,GRAND LARCENY,40.724982,-73.982795,10009,FELONY,2022-09-01
353137,BRONX,VEHICLE AND TRAFFIC LAWS,40.84518866,-73.90072535,10457,MISDEMEANOR,2022-09-02
353141,BROOKLYN,PETIT LARCENY,40.610931,-73.920761,11234,MISDEMEANOR,2022-09-01
353142,QUEENS,BURGLARY,40.672335,-73.803134,11420,FELONY,2022-09-03
353144,QUEENS,CRIMINAL MISCHIEF & RELATED OF,40.746806,-73.799696,11365,MISDEMEANOR,2022-09-02
353147,QUEENS,PETIT LARCENY,40.713521,-73.832375,11415,MISDEMEANOR,2022-09-03
353149,MANHATTAN,CRIMINAL TRESPASS,40.757548,-73.97874,10036,MISDEMEANOR,2022-09-01
353151,QUEENS,ASSAULT 3 & RELATED OFFENSES,40.736683,-73.802372,11365,MISDEMEANOR,2022-09-01
353152,BROOKLYN,GRAND LARCENY OF MOTOR VEHICLE,40.680214,-73.918059,11233,FELONY,2022-09-01
353154,BROOKLYN,HARRASSMENT 2,40.649265,-73.928163,11203,VIOLATION,2022-09-02
353157,QUEENS,HARRASSMENT 2,40.74179093,-73.95690112,11101,VIOLATION,2022-09-01
353159,BROOKLYN,GRAND LARCENY,40.663437,-73.897563,11207,FELONY,2022-09-01
353160,QUEENS,SEX CRIMES,40.7431245994984,-73.9560680726795,11101,MISDEMEANOR,2022-09-01
353166,QUEENS,PETIT LARCENY,40.776047,-73.934905,11102,MISDEMEANOR,2022-09-03
353172,BROOKLYN,PETIT LARCENY,40.645108,-73.993713,11219,MISDEMEANOR,2022-09-01
353175,STATEN ISLAND,ASSAULT 3 & RELATED OFFENSES,40.618588,-74.069444,10305,MISDEMEANOR,2022-09-02
353178,BRONX,VEHICLE AND TRAFFIC LAWS,40.8690625,-73.88912695,10458,MISDEMEANOR,2022-09-03
353183,MANHATTAN,GRAND LARCENY,40.81795859,-73.96035625,10027,FELONY,2022-09-03
353185,MANHATTAN,PETIT LARCENY,40.777375,-73.950558,10028,MISDEMEANOR,2022-09-02
353189,MANHATTAN,PETIT LARCENY,40.731881,-73.994543,10003,MISDEMEANOR,2022-09-02
353194,BRONX,PETIT LARCENY,40.816996,-73.899234,10455,MISDEMEANOR,2022-09-03
353197,STATEN ISLAND,INTOXICATED & IMPAIRED DRIVING,40.526503,-74.201333,10309,MISDEMEANOR,2022-09-01
353200,BROOKLYN,CRIMINAL MISCHIEF & RELATED OF,40.639925,-74.008533,11220,MISDEMEANOR,2022-09-04
353201,BRONX,HARRASSMENT 2,40.883306,-73.897751,10463,VIOLATION,2022-09-02
353205,BROOKLYN,HARRASSMENT 2,40.650997,-74.009505,11232,VIOLATION,2022-09-01
353209,MANHATTAN,GRAND LARCENY,40.75090445,-73.98067269,10016,FELONY,2022-09-03
353213,BROOKLYN,PETIT LARCENY,40.64062583,-74.01497868,11220,MISDEMEANOR,2022-09-01
353214,BRONX,OFFENSES INVOLVING FRAUD,40.816034,-73.895748,10459,MISDEMEANOR,2022-09-01
353217,MANHATTAN,PETIT LARCENY,40.765105,-73.984052,10019,MISDEMEANOR,2022-09-01
353221,BROOKLYN,ROBBERY,40.661908,-73.882884,11239,FELONY,2022-09-02
353223,MANHATTAN,GRAND LARCENY,40.718468,-74.002185,10013,FELONY,2022-09-01
353225,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,40.694373,-73.976517,11205,MISDEMEANOR,2022-09-02
353226,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,40.714141,-73.948546,11211,MISDEMEANOR,2022-09-03
353229,MANHATTAN,PETIT LARCENY,40.769141,-73.958116,10021,MISDEMEANOR,2022-09-02
353232,QUEENS,INTOXICATED & IMPAIRED DRIVING,40.77153755,-73.87608995,11369,MISDEMEANOR,2022-09-01
353233,MANHATTAN,GRAND LARCENY,40.720629,-73.993919,10012,FELONY,2022-09-03
